Key,Comment,Japanese,Japanese_Steam,Traditional Chinese_Steam,English_Steam,Korean_Steam
Record.KeiAfter-11,,「洗脳装置さえ解除すれば後はなんてことない、私の頭脳をもってすれば財団を乗っることなど余裕だ！」,「洗脳装置さえ解除すれば後はなんてことない、私の頭脳をもってすれば財団を乗っることなど余裕だ！」,「只要解除了洗腦裝置，之後就沒什麼了不起了，以我的頭腦要奪取財團根本輕而易舉！」,"""Once the brainwashing device is disabled, the rest is nothing. With my intellect, taking over the Foundation will be easy!""","「세뇌 장치만 해제하면 다음은 아무것도 아니야, 내 두뇌를 가지고 재단을 장악하는 것 따위 여유지!」"
,,,,,,
Record.KeiAfter-12,,「ふふふっ…待っていろ私をコケにした財団の幹部共…！今度こそ私の手で支配してやるっ……！」,「ふふふっ…待っていろ私をコケにした財団の幹部共…！今度こそ私の手で支配してやるっ……！」,「呵呵呵…給我等著，那些耍了我的財團幹部們…！這次我一定要親手支配你們……！」,"""Fufufu... Just wait, you Foundation executives who made a fool of me...! This time I'll dominate you with my own hands...!""",「후후훗… 기다려라 나를 바보 취급한 재단 간부 놈들…! 이번에야말로 내 손으로 지배해주겠어……!」
,,,,,,
,,,,,,
,,,,,,
Record.KeiAfter-13,,裏路地にて――――,裏路地にて――――,在巷子裏――――,In the back alley,뒷골목에서――――
,,,,,,
Record.KeiAfter-14,K22号,「ハアッ、ハアッ、ここまで来れば…後ちょっとで圏外なはず…！」,「ハアッ、ハアッ、ここまで来れば…後ちょっとで圏外なはず…！」,「哈啊、哈啊、來到這裡的話…應該再差一點點就到圈外了…！」,"""Haa, haa, if I've come this far... I should be almost out of range...!""","「하앗, 하앗, 여기까지 오면… 조금만 더 가면 권외일 텐데…!」"
,,,,,,
Record.KeiAfter-15,,ブルンッ♥、ブルンッ♥！,ブルンッ♥、ブルンッ♥！,晃動♥、晃動♥！,Bounce♥ bounce♥!,"출렁♥, 출렁♥!"
,,,,,,
Record.KeiAfter-16,K22号,「っ、くそっ、このふざけた胸が無ければもっと早く走れるのに…っ！」,「っ、くそっ、このふざけた胸が無ければもっと早く走れるのに…っ！」,「…！可惡、如果沒有這對該死的胸部的話，我能跑得更快才對…！」,"""Damn it, if it weren't for these ridiculous breasts I could've run faster...!""","「윽, 젠장, 이 빌어먹을 가슴만 없었다면 더 빨리 달릴 수 있었을 텐데…!」"
,,,,,,
Record.KeiAfter-17,,その時、K22号の前に路地裏から何人かの男たちが現れる,その時、K22号の前に路地裏から何人かの男たちが現れる,就在這時，K22號的前方，有幾個男人從巷子裏出現了,"At that moment, several men appeared from the alley in front of K22.","그때, K22호 앞에 뒷골목에서 여러 명의 남자들이 나타난다"
,,,,,,
Record.KeiAfter-18,男,「うおっ！？なんでこんな所に戦闘員がいるんだ？！」,「うおっ！？なんでこんな所に戦闘員がいるんだ？！」,「嗚！？為什麼戰鬥員會出現在這種地方？！」,"""Whoa?! Why are there soldiers in a place like this?!""",「우옷!? 왜 이런 곳에 전투원이 있는 거야?!」
,,,,,,
Record.KeiAfter-19,K22号,「っ…！こんな時にめんどうなッ…！」,「っ…！こんな時にめんどうなッ…！」,「…！偏偏在這種時候…！」,"""...! What a pain at a time like this...!""",「윽…! 이럴 때 귀찮게…!」
,,,,,,
Record.KeiAfter-20,,「まあいいっ…こいつら程度なら戦闘員の力でも何とかなるだろう…！」,「まあいいっ…こいつら程度なら戦闘員の力でも何とかなるだろう…！」,「罷了…這種程度的傢伙，用戰鬥員的力量應該還應付得過去…！」,"""Well, fine... I should be able to handle these guys because I'm a soldier...""",「뭐 좋아… 이놈들 정도라면 전투원의 힘으로도 어떻게든 되겠지…!」
,,,,,,
Record.KeiAfter-21,,「貴様らッ！そこをどけっ！キィーーーーーーッ！」,「貴様らッ！そこをどけっ！キィーーーーーーッ！」,「你們這些傢伙！滾開！吱ーーーーーー！」,"""You bastards! Get out of the way! KIIIIIIII!""",「네놈들! 거기 비켜! 키이ーーーーーー잇!」
,,,,,,
,,,,,,
,Kei darkness 1-1,,,,,
Record.KeiAfter-22,K22号,「ぐううっっ！？」,「ぐううっっ！？」,「唔喔喔！？」,"""Guuuh?!""",「크으윽!?」
,,,,,,
Record.KeiAfter-23,男,「なんだぁ、こいつ？戦闘員のくせにクソ弱いじゃねえかｗ」,「なんだぁ、こいつ？戦闘員のくせにクソ弱いじゃねえかｗ」,「搞什麼啊，這傢伙？明明是戰鬥員，卻弱得要死啊ｗ」,"""What the hell? For a soldier, this one's weak as hell.""","「뭐야, 이 녀석? 전투원 주제에 존나 약하잖아ㅋ」"
,,,,,,
Record.KeiAfter-24,K22号,「うっ…こんなはずでは…ッ！？」,「うっ…こんなはずでは…ッ！？」,「嗚…怎麼會這樣…！？」,"""Ugh... This shouldn't be happening...?!""",「윽… 이럴 리가…!?」
,,,,,,
Record.KeiAfter-25,,「ま、まずい、何とか逃げないと………っ！」,「ま、まずい、何とか逃げないと………っ！」,「糟、糟糕了，不想辦法逃走的話………！」,"""Th-this is bad, I need to escape somehow...!""","「위, 위험해, 어떻게든 도망치지 않으면………윽!」"
,,,,,,
Record.KeiAfter-26,Kei darkness DLC1-2,しかしK22号は周りを男たちに囲まれてしまう。,しかしK22号は周りを男たちに囲まれてしまう。,但是K22號已經被男人們團團圍住。,"However, K22 found herself surrounded by the men.",하지만 K22호는 주위를 남자들에게 둘러싸여 버린다.
,,,,,,
Record.KeiAfter-27,K22号,「ぐうっ…この忌々しい胸が無ければこんな奴らに負けるなど……っ！」,「ぐうっ…この忌々しい胸が無ければこんな奴らに負けるなど……っ！」,「唔…如果沒有這對可恨的胸部，我怎麼可能會輸給這種傢伙……！」,"""Guh... If it weren't for these damned breasts, I wouldn't lose to the likes of these guys...!""",「크윽… 이 빌어먹을 가슴만 없었다면 이런 놈들에게 질 리가……!」
,,,,,,
Record.KeiAfter-28,男,「あ？コイツ戦闘員にしちゃ馬鹿みたいに胸がでけえな？」,「あ？コイツ戦闘員にしちゃ馬鹿みたいに胸がでけえな？」,「啊？這傢伙以戰鬥員來說，胸部大得像個笨蛋啊？」,"""Huh? For a soldier, this one's got stupidly huge tits?""",「아? 이 녀석 전투원치고 바보같이 가슴이 크네?」
,,,,,,
Record.KeiAfter-29,K22号,「っ、言うなっ……！」,「っ、言うなっ……！」,「…！不准說……！」,"""...Don't say that...!""","「윽, 말하지 마……!」"
,,,,,,
Record.KeiAfter-30,男,「ちょうどいい…貴様ら財団の戦闘員には迷惑していたとこだ、全員でコイツに復讐してやるぞっ！」,「ちょうどいい…貴様ら財団の戦闘員には迷惑していたとこだ、全員でコイツに復讐してやるぞっ！」,「正好…我們也受夠了你們這些財團戰鬥員的鳥氣，大家一起來向這傢伙復仇吧！」,"""Perfect timing... We've been troubled by you Foundation soldiers. Let's all get revenge on this one!""","「마침 잘 됐네… 네놈들 재단 전투원에게는 폐를 끼치고 있었거든, 전원이 이 녀석에게 복수해주마!」"
,,,,,,
Record.KeiAfter-31,K22号,「な、なあっ！？」,「な、なあっ！？」,「什、什麼！？」,"""Wh-what?!""","「뭐, 뭐야!?」"
,,,,,,
Record.KeiAfter-32,Kei darkness DLC1-3,そして男たちはズボンをおろし、K22号の前にチンポを差し出す。,そして男たちはズボンをおろし、K22号の前にチンポを差し出す。,接著，男人們拉下褲子，在K22號面前掏出了肉棒。,Then the men lowered their pants and shoved their cocks at K22.,"그리고 남자들은 바지를 내리고, K22호 앞에 자지를 내민다."
,,,,,,
Record.KeiAfter-33,K22号,「よ、よせっ！財団に喧嘩を売る気かっ…？！」,「よ、よせっ！財団に喧嘩を売る気かっ…？！」,「住、住手！你們是想跟財團作對嗎…？！」,"""S-stop! Are you trying to pick a fight with the Foundation...?!""","「저, 저리 가! 재단에 싸움을 걸 셈인가…?!」"
,,,,,,
Record.KeiAfter-34,男,「ああ？てめえら女戦闘員は散々善良な市民を逆レしておいて何言ってんだ？」,「ああ？てめえら女戦闘員は散々善良な市民を逆レしておいて何言ってんだ？」,「啊？你們這些女戰鬥員平常不是最愛強姦善良市民了，現在在說什麼啊？」,"""Huh? You female soldiers have been assaulting innocent citizens left and right, what are you talking about?""",「아아? 네놈들 여성 전투원은 실컷 선량한 시민을 역강간해놓고 무슨 소리 하는 거야?」
,,,,,,
Record.KeiAfter-35,,「これは正義の行いなんだよっ！オラッ！」,「これは正義の行いなんだよっ！オラッ！」,「這可是正義的行為啊！來吧！」,"""This is an act of justice! Take this!""",「이건 정의의 행동이라고! 자!」
,Kei darkness DLC1-４,,,,,
Record.KeiAfter-36,K22号,「うぶッッ！？」,「うぶッッ！？」,「唔噗！？」,"""Ubuh?!""",「웁웁!?」
,,,,,,
Record.KeiAfter-37,,怒りに燃えた男たちのチンポがK22号の口と割れ目に打ち込まれる。,怒りに燃えた男たちのチンポがK22号の口と割れ目に打ち込まれる。,燃燒著怒火的男人們的肉棒，被硬生生打進K22號的嘴和裂縫中。,The angry men thrust their cocks into K22's mouth and pussy.,분노에 불타는 남자들의 자지가 K22호의 입과 갈라진 틈에 쑤셔 박힌다.
,,,,,,
Record.KeiAfter-38,,「ゲポッ！？ぐうううっ…！？」,「ゲポッ！？ぐうううっ…！？」,「呃！？唔喔喔喔…！？」,"""Guhhh! Guuuuh...?!""",「컥!? 크으으윽…!?」
,,,,,,
Record.KeiAfter-39,男,「へへっ…いつもやられっぱなしだからな…たまにはお返ししねえとなあ！？」,「へへっ…いつもやられっぱなしだからな…たまにはお返ししねえとなあ！？」,「嘿嘿…平常總是只有我們被搞…偶爾也該回敬一下才行啊！？」,"""Hehe... We're always on the receiving end... Sometimes we gotta give back, right?!""",「헤헷… 언제나 당하기만 했으니까… 가끔은 갚아줘야지!?」
,,,,,,
Record.KeiAfter-40,K22号,「やべっ……ま………まへっ！！」,「やべっ……ま………まへっ！！」,「住…手……不……不要！」,"""Shtop... wai... waih!!""",「위험…해…… 자………자해!!」
,,,,,,
Record.KeiAfter-41,,しかし誰もK22号のいう事など聞くはずもなく、男たちはK22号の体をモノのように扱い始める。,しかし誰もK22号のいう事など聞くはずもなく、男たちはK22号の体をモノのように扱い始める。,但是，根本沒有人理會K22號在說什麼，男人們開始將K22號的身體當作物品般對待。,"However, no one would listen to K22, and the men began treating K22's body like an object.","하지만 아무도 K22호의 말 따위 들을 리 없고, 남자들은 K22호의 몸을 물건처럼 다루기 시작한다."
,,,,,,
Record.KeiAfter-42,,バチュッ、バチュッ、バチュッ、バチュツ！！,バチュッ、バチュッ、バチュッ、バチュツ！！,啪啾、啪啾、啪啾、啪啾！！,"Slap, slap, slap, slap!!","(효과음살 부딪히는 소리) 철썩, 철썩, 철썩, 철썩!!"
,,,,,,
Record.KeiAfter-43,K22号,「～～～～～～ッ！！！？！」,「～～～～～～ッ！！！？！」,「～～～～～～！！！？！」,"""...!!!?!""",「~~~~~~윽!!!?!」
,,,,,,
Record.KeiAfter-44,,(ま、まずい……私がこんな男どもに捕まってしまうなど……！！),(ま、まずい……私がこんな男どもに捕まってしまうなど……！！),（糟、糟糕了……我竟然會被這種男人們抓住……！！）,(Th-this is bad... For me to be caught by these men...!!),"(위, 위험해…… 내가 이런 남자들에게 붙잡히다니……!!)"
,,,,,,
Record.KeiAfter-45,,(それにこんな所でもたもたしてたら逃げられなくなってしまうっ……！),(それにこんな所でもたもたしてたら逃げられなくなってしまうっ……！),（而且，在這種地方磨蹭下去的話，我的逃跑計劃會露餡的……！）,"(And if I stall here, I won't be able to escape...!)",(게다가 이런 곳에서 꾸물거리다가는 도망칠 수 없게 돼……!)
,,,,,,
Record.KeiAfter-46,男,「この戦闘員スーツも邪魔だっ、やぶいちまえっ！」,「この戦闘員スーツも邪魔だっ、やぶいちまえっ！」,「這戰鬥服也真礙事，把它扒光！」,"""This combat suit is in the way too, tear it off!""",「이 전투원 슈트도 방해돼! 찢어버려!」
,,,,,,
Record.KeiAfter-47,K22号,「キィッ！な！？や、やめおっ！！」,「キィッ！な！？や、やめおっ！！」,「吱！什！？住、住手喔！！」,"""Kii! Wha?! S-stop ih!!""","「키잇! 뭐!? 여, 그만둬!!」"
,,,,,,
Record.KeiAfter-48,Kei darkness DLC1-5,ビリッ！ビリビリッ！,ビリッ！ビリビリッ！,撕啦！撕啦撕啦！,"Rip! Rip, rip!",찌익! 찌리릭!
,,,,,,
Record.KeiAfter-49,,K22号のスーツが破られ、中からイチゴのように巨大な乳首があらわれる,K22号のスーツが破られ、中からイチゴのように巨大な乳首があらわれる,K22號的戰鬥服被撕破，裏頭如草莓般巨大的乳頭彈了出來,"K22's suit was torn, revealing enormous nipples like strawberries.","K22호의 슈트가 찢어지고, 안에서 딸기처럼 거대한 유두가 드러난다"
,,,,,,
Record.KeiAfter-50,K22号,「キィッ！？♥……よ、よくもっ！」,「キィッ！？♥……よ、よくもっ！」,「吱！？♥……你、你們竟敢！」,"""Kiiiiii?! You...""","「키잇!?♥…… 네, 네 이놈들!」"
,,,,,,
Record.KeiAfter-51,男,「はははっ、マジででけえ乳だな？なんでこんな奴が戦闘員やってるんだ？」,「はははっ、マジででけえ乳だな？なんでこんな奴が戦闘員やってるんだ？」,「哈哈哈、還真是超大的奶子啊？為什麼這種傢伙能當戰鬥員啊？」,"""Hahaha, seriously huge tits, huh? Why is someone like this working as a soldier?""","「하하하, 진짜 큰 젖이네? 왜 이런 녀석이 전투원 하고 있는 거야?」"
,,,,,,
Record.KeiAfter-52,K22号,「ごぷっ、キィッ！？ち、違うッ！私を解放してくれれば財団の情報を――――」,「ごぷっ、キィッ！？ち、違うッ！私を解放してくれれば財団の情報を――――」,「咕噗、吱！？才、才不是！只要你們放了我，我就把財團的情報――――」,"""Goph, kii?! N-no! If you let me go, I'll give you Foundation information—""","「곱, 키잇!? 아, 아니야! 나를 풀어주면 재단 정보를――――」"
,,,,,,
Record.KeiAfter-53,男,「お前のいう事なんざ聞いてねえんだよっ！オラッ！」,「お前のいう事なんざ聞いてねえんだよっ！オラッ！」,「誰管妳在說什麼啊！來吧！」,"""We're not listening to anything you say! Take this!""",「네 말 따위 듣고 있지 않아! 자!」
,,,,,,
Record.KeiAfter-54,,バコッ！バコッ！バコッ！,バコッ！バコッ！バコッ！,啪叩！啪叩！啪叩！,Thud! Thud! Thud!,(효과음타격음) 퍽! 퍽! 퍽!
,,,,,,
Record.KeiAfter-55,K22号,「んんッ～～～～～～ッ♥♥！！？」,「んんッ～～～～～～ッ♥♥！！？」,「嗯嗯～～～～～～♥♥！！？」,"""Nnn♥♥!!?""",「응응읏~~~~~~읏♥♥!!?」
,,,,,,
Record.KeiAfter-56,,周りの男たちもK22号の体中にチンポをこすりつけ、K22号に怒りと性欲をぶつけようとする,周りの男たちもK22号の体中にチンポをこすりつけ、K22号に怒りと性欲をぶつけようとする,周圍的男人們也將肉棒在K22號的全身磨蹭，試圖將怒火與性慾發洩在K22號身上,"The surrounding men also tried to vent their anger and sexual frustration on K22, rubbing their cocks against her.","주위 남자들도 K22호 온몸에 자지를 문지르며, K22호에게 분노와 성욕을 퍼붓는다"
,,,,,,
Record.KeiAfter-57,K22号,「ひゃっ、やめろっ……ッ！！」,「ひゃっ、やめろっ……ッ！！」,「呀、住手……！！」,"""Hya, stop it...!!""","「히얏, 그만둬……!!」"
,,,,,,
Record.KeiAfter-58,男,「ははっ！コイツマジで全身オナホボディじゃねえかｗ？」,「ははっ！コイツマジで全身オナホボディじゃねえかｗ？」,「哈哈！這傢伙根本全身都是自慰套體質嘛ｗ？」,"""Haha! This one's seriously got a body made for pleasure, doesn't she?""",「하핫! 이 녀석 진짜 전신 오나홀 몸 아니냐ㅋ?」
,Kei darkness DLC1-６,,,,,
Record.KeiAfter-59,,「おらっ！もっとマンコ締めろっ！」,「おらっ！もっとマンコ締めろっ！」,「喂！小穴再夾緊一點啊！」,"""Come on! Squeeze harder!""",「자! 더 보지 조여!」
,,,,,,
Record.KeiAfter-60,,バチッ！バチンッ！！,バチッ！バチンッ！！,啪！啪！！,Smack! Slap!!,철썩! 철썩!!
,,,,,,
Record.KeiAfter-61,K22号,「～～～～～～～～～～ッ♥！！！」,「～～～～～～～～～～ッ♥！！！」,「～～～～～～～～～～♥！！！」,"""....♥!!!""",「~~~~~~~~~~읏♥!!!」
,,,,,,
Record.KeiAfter-62,,ジュルルッ♥ジュルルッ♥,ジュルルッ♥ジュルルッ♥,啾嚕嚕♥啾嚕嚕♥,Slurp♥ slurp♥,(핥는 소리) 츄르릅♥ 츄르릅♥
,,,,,,
Record.KeiAfter-63,,(ぐうっ…！く、くそっ！),(ぐうっ…！く、くそっ！),（唔…！可、可惡！）,(Guh...! D-damn it!),"(크윽…! 제, 젠장!)"
,,,,,,
Record.KeiAfter-64,,(この乳のせいで…逃げられないっ……♥！！),(この乳のせいで…逃げられないっ……♥！！),（都是因為這對奶子…才逃不掉……♥！！）,(Because of these breasts... I can't escape...♥!!),(이 젖 때문에… 도망칠 수 없어……♥!!)
,,,,,,
Record.KeiAfter-65,,(そ、それにっ……勝手に体がこいつらに媚びてしまうっ…！),(そ、それにっ……勝手に体がこいつらに媚びてしまうっ…！),（而、而且……身體擅自對這些傢伙獻媚了…！）,(A-and... my body is responding to their touches...!),"(그, 게다가…… 멋대로 몸이 이놈들에게 아양 떨고 있어…!)"
,,,,,,
Record.KeiAfter-66,,(ぐうっ…くそっ！これも改造されたせいなのか……体が勝手にご奉仕モードに…！！),(ぐうっ…くそっ！これも改造されたせいなのか……体が勝手にご奉仕モードに…！！),（唔…可惡！這也是被改造的關係嗎……身體擅自進入了侍奉模式…！！）,(Guh... damn! Is this also because of the modifications... my body automatically going into service mode...!!),(크윽… 젠장! 이것도 개조당한 탓인가…… 몸이 멋대로 봉사 모드로…!!)
,,,,,,
Record.KeiAfter-67,男,「ははっ、こいつレイプされてる最中だってのにノリノリじゃねえか！戦闘員ってのはどいつもこんな感じなのか？」,「ははっ、こいつレイプされてる最中だってのにノリノリじゃねえか！戦闘員ってのはどいつもこんな感じなのか？」,「哈哈、這傢伙明明在被強姦，卻這麼興奮啊！戰鬥員都是這種調調嗎？」,"""Haha, she's getting into it even while being violated! Are all soldiers like this?""","「하핫, 이 녀석 강간당하는 중인데도 신났잖아! 전투원이란 놈들은 다 이런 건가?」"
,,,,,,
Record.KeiAfter-68,K22号,「ジュルルッ♥！むうっ～～～～♥！！んんっ♥！」,「ジュルルッ♥！むうっ～～～～♥！！んんっ♥！」,「啾嚕嚕♥！唔嗯～～～～♥！！嗯嗯♥！」,"""Slurp♥! Muuu...♥!! Nnn♥!""",「츄르릅♥! 으읏~~~~♥!! 응응읏♥!」
,,,,,,
Record.KeiAfter-69,,(ううっ…！何をしてるんだっ……！逃げなければいけないのにっ…！！！),(ううっ…！何をしてるんだっ……！逃げなければいけないのにっ…！！！),（嗚嗚…！我在做什麼啊……！明明非得逃走才行…！！！）,(Uuh...! What am I doing...! I need to escape...!!!),(으윽…! 뭘 하는 거야……! 도망쳐야 하는데!!!)
,,,,,,
Record.KeiAfter-70,,(くそっ♥！改造されたせいでっ…体が勝手に媚びてしまう……！！),(くそっ♥！改造されたせいでっ…体が勝手に媚びてしまう……！！),（可惡♥！都是因為被改造了…身體擅自動作起來了……！！）,(Damn♥! Because of the modifications... my body automatically gets turned on...!!),(젠장♥! 개조당한 탓에… 몸이 멋대로 아양 떨고 있어……!!)
,,,,,,
Record.KeiAfter-71,男,「お～い、早く変わってくれ、後がつかえてるんだ。」,「お～い、早く変わってくれ、後がつかえてるんだ。」,「喂～，快點換人啊，後面還在排隊。」,"""Hey, hurry up, there's a line!""","「어~이, 빨리 교대해줘, 뒤가 밀렸어.」"
,,,,,,
Record.KeiAfter-72,,「おっとそうだな…オラッ！口に出してやるから反省しながら奉仕しろ！！」,「おっとそうだな…オラッ！口に出してやるから反省しながら奉仕しろ！！」,「喔っと，說的也是…來吧！我要射在妳嘴裡了，妳就邊反省邊侍奉吧！！」,"""Oh right... Take this! I'll finish in your mouth, so why don't you think about your actions while sucking me off?""",「이런 그렇구나… 자! 입으로 싸줄 테니 반성하면서 봉사해!!」
,,,,,,
Record.KeiAfter-73,,男たちは腰の動きを激しくし、快楽を満たすためだけの道具のようにK22号の穴を攻め続ける。,男たちは腰の動きを激しくし、快楽を満たすためだけの道具のようにK22号の穴を攻め続ける。,男人們加快了腰部的動作，如同對待純粹滿足快樂的道具般，持續進攻K22號的穴。,"The men's hips moved faster, continuing to violate K22's orifices as if she were merely a tool for satisfying their pleasure.","남자들은 허리 움직임을 격렬하게 하고, 쾌락을 채우기 위한 도구처럼 K22호의 구멍을 계속 공격한다."
,,,,,,
Record.KeiAfter-74,K22号,「ぐぶっ！？んっ♥、ジュルッ♥ジュポッ♥！んんっ～～～！！！」,「ぐぶっ！？んっ♥、ジュルッ♥ジュポッ♥！んんっ～～～！！！」,「咕噗！？嗯♥、啾嚕♥啾啵♥！嗯嗯～～～！！！」,"""Gufff?! Nn♥ Slurp♥ Shlup♥! Nnn!!!""","「크븃!? 응읏♥, 쥬릇♥쥬폿♥! 응응읏~~~!!!」"
,,,,,,
Record.KeiAfter-75,,「んっ♥、んっ♥、ジュルッ♥、ゴプッ♥、げぷっ♥…ジュポッ♥！」,「んっ♥、んっ♥、ジュルッ♥、ゴプッ♥、げぷっ♥…ジュポッ♥！」,「嗯♥、嗯♥、啾嚕♥、咕噗♥、呃♥…啾啵♥！」,"""Nn♥ nn♥ slurp♥ Gfff♥ gffff♥... Shlup♥!""","「응읏♥, 응읏♥, 쥬릇♥, 곱♥, 겝♥… 쥬폿♥!」"
,,,,,,
Record.KeiAfter-76,,(くっ、くそ！こいつらっ…！この私をこんなオナホのように…♥！),(くっ、くそ！こいつらっ…！この私をこんなオナホのように…♥！),（可、可惡！這些傢伙…！竟敢把本小姐當成這種自慰套一樣…♥！）,(Damn! These guys...! Treating me like some kind of sex toy...♥!),"(크윽, 젠장! 이놈들…! 이 나를 이런 오나홀처럼…♥!)"
,,,,,,
Record.KeiAfter-77,,(ぐううっ…！！でもっ…改造されたせいで…♥体がチンポに逆らえないっ…♥！),(ぐううっ…！！でもっ…改造されたせいで…♥体がチンポに逆らえないっ…♥！),（唔喔喔…！！但是…因為被改造了…♥身體無法反抗肉棒…♥！）,(Guuuh...!! But... because of the modifications...♥ my body can't resist...♥!),(크으윽…!! 하지만… 개조당한 탓에…♥ 몸이 자지에 거역할 수 없어…♥!)
,,,,,,
Record.KeiAfter-78,,(こんな情けない状況なのに…♥……私の体が…この男どものチンポに奉仕してしまう……っ♥！),(こんな情けない状況なのに…♥……私の体が…この男どものチンポに奉仕してしまう……っ♥！),（明明是這麼丟臉的狀況…♥……我的身體…竟然侍奉起這些男人的肉棒……♥！）,(Even in this pathetic situation...♥... my body... is giving into these cocks...♥!),(이런 한심한 상황인데…♥…… 내 몸이… 이 남자들의 자지에 봉사해버려……윽♥!)
,,,,,,
Record.KeiAfter-79,,ジュポッ♥、ジュルルッ♥、ジュルルッ♥！,ジュポッ♥、ジュルルッ♥、ジュルルッ♥！,啾啵♥、啾嚕嚕♥、啾嚕嚕♥！,Shlup♥ slurrrp♥ slurrrp♥!,"쥬폿♥, 츄르릅♥, 츄르릅♥!"
,,,,,,
Record.KeiAfter-80,,(うぐっ♥…改造されてから感度があがって…くそっ…こんな雑魚共に…私がッ…♥！),(うぐっ♥…改造されてから感度があがって…くそっ…こんな雑魚共に…私がッ…♥！),（唔咕♥…被改造後感度提升了…可惡…被這種雜魚們…我竟然…♥！）,(Ugu♥... my sensitivity increased after the modifications... Damn... to these weaklings... I'm...♥!),(윽♥… 개조되고 나서 감도가 올라가서… 젠장… 이런 잡것들에게… 내가…♥!)
,,,,,,
